Occupation Title,,Median Annual Wage 2018,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Typical on-the-job Training
"Police, fire, and ambulance dispatchers    * 911 Dispatcher* 911 Operator* Ambulance Dispatcher* Emergency Communications Dispatcher* Emergency Communications Operator* Emergency Operator* Emergency Telecommunications Dispatcher* Fire Dispatcher* Police Dispatcher* Police Radio Dispatcher",,"40,660",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Political science teachers, postsecondary    * Government Professor* International Relations Professor* Political Theory Professor* Public Policy Professor",,"83,370",Doctoral or professional degree,1,None,None
Political scientists    * Government Affairs Researcher* Government Affairs Specialist* Local Governance and Citizen Participation Specialist* Political Consultant* Political Research Scientist* Political Researcher,,"117,570",Master's degree,2,None,None
Postal service clerks    * Bulk Mail Clerk* Bulk Mail Technician* Parcel Post Clerk* Postal Clerk* Postal Service Clerk* Postal Service Window Clerk,,"55,280",High school diploma or equivalent,7,None,Short-term on-the-job training
Postal service mail carriers    * City Letter Carrier* Letter Carrier* Mail Deliverer* Parcel Post Carrier* Postal Mail Carrier* Rural Mail Carrier* Rural Route Carrier* USPS Letter Carrier,,"55,210",High school diploma or equivalent,7,None,Short-term on-the-job training
"Postal service mail sorters, processors, and processing machine operators    * Flat Sorter Operator* Flat Sorting Machine Clerk* Mail Forwarding System Markup Clerk* Parcel Post Distribution Machine Operator* Post Office Markup Clerk* Postal Service Mail Processor* Small Package and Bundle Sorter Clerk",,"58,770",High school diploma or equivalent,7,None,Short-term on-the-job training
Postmasters and mail superintendents    * Postal Supervisor* Postmaster,,"75,970",High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
"Postsecondary teachers, all other    * Braille Teacher* Flight Simulator Teacher* Interdisciplinary Professor* Military Science Teacher* Project Management Professor",,"65,660",Doctoral or professional degree,1,None,None
"Pourers and casters, metal    * Aluminum Pourer* Ingot Caster* Iron Pourer* Molten Iron Pourer* Steel Pourer* Tin Pourer* White Metal Caster",,"37,730",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Power distributors and dispatchers    * Power System Dispatcher* Steam Plant Control Room Operator* Steam and Power Panel Operator* Substation Operator,,"86,410",High school diploma or equivalent,7,None,Long-term on-the-job training
Power plant operators    * Hydroelectric Plant Operator* Power Plant Control Room Operator* Powerhouse Operator* Turbine Room Attendant,,"79,610",High school diploma or equivalent,7,None,Long-term on-the-job training
"Precision instrument and equipment repairers, all other    * Gyroscope Repairer* Hydrometer Calibrator* Scale Adjuster* Telescope Repairer",,"57,610",High school diploma or equivalent,7,None,Long-term on-the-job training
Prepress technicians and workers    * Digital Proofing and Platemaker* Electronic Pre-Press Technician* Photoengraver* Plate Mounter* Pre-Press Proofer* Prepress Stripper* Type Setter,,"40,410",Postsecondary nondegree award,5,None,None
"Preschool teachers, except special education    * Early Childhood Teacher* Head Start Teacher* Nursery School Teacher* Nursery Teacher* Pre-K Teacher* Pre-Kindergarten Teacher* Preschool Teacher",,"29,780",Associate's degree,4,None,None
"Pressers, textile, garment, and related materials    * Clothes Ironer* Clothes Presser* Clothing Presser* Garment Presser* Pants Presser* Shirt Presser* Silk Presser* Wool Presser",,"23,350",No formal educational credential,8,None,Short-term on-the-job training
Print binding and finishing workers    * Bindery Cutter Operator* Bindery Folder Operator* Bindery Machine Operator* Bindery Worker* Book Repairer* Bookbinder* Bookbinding Machine Operator* Case Binder Operator* Foil Stamp Operator* Perfect Binder Operator* Saddle Stitch Operator* Saddle Stitcher Operator* Spiral Binder Operator,,"32,890",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Printing press operators    * Digital Press Operator* Flexographic Press Operator* Gravure Press Operator* Lithograph Press Operator* Lithographing Machine Operator* Offset Lithographic Press Setter and Set-Up Operator* Offset Press Operator* Printing Machine Operator* Screen Printing Machine Operator* Screen Printing Press Operator* Silk Screen Operator* Silk Screen Printer* Web Offset Press Feeder* Web Press Operator,,"36,220",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Private detectives and investigators    * Certified Legal Investigator* Licensed Private Investigator* Loss Prevention Detective* Private Detective* Private Eye* Private Investigator* Skip Tracer* Store Detective,,"50,090",High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Probation officers and correctional treatment specialists    * Correctional Treatment Specialist* Juvenile Probation Officer* Parole Agent* Parole Officer* Probation Officer,,"53,020",Bachelor's degree,3,None,Short-term on-the-job training
Procurement clerks    * Procurement Assistant* Procurement Clerk* Purchasing Assistant* Purchasing Clerk,,"42,670",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Producers and directors    * Broadcast Producer* Casting Director* Film Maker* Independent Film Maker* Independent Video Producer* Motion Picture Director* Movie Producer* Music Video Director* Music Video Producer* News Production Supervisor* Newscast Director* Newscast Producer* On-Air Director* Pageant Director* Radio Producer* Radio Television Technical Director* Stage Manager* Television News Producer* Television Newscast Director* Television Producer* Television Program Director* Theater Company Producer* Video Producer,,"71,680",Bachelor's degree,3,Less than 5 years,None
"Production workers, all other",,"30,170",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Production, planning, and expediting clerks    * Expeditor* Material Control Clerk* Material Expediter* Mill Recorder* Production Control Clerk* Production Control Coordinating Clerk* Production Control Coordinator* Production Scheduler* Work Ticket Distributor",,"47,580",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Proofreaders and copy markers    * Braille Proofreader* Clerical Proofreader* Copy Reader* Editorial Assistant* Format Proofreader* Proofreader,,"39,140",Bachelor's degree,3,None,None
"Property, real estate, and community association managers    * Apartment Manager* Building Rental Manager* Community Association Manager* Condominium Association Manager* Homeowner Association Manager* Land Acquisition Manager* Leasing Property Manager* Property Manager* Real Estate Manager",,"58,340",High school diploma or equivalent,7,Less than 5 years,None
Prosthodontists    * Maxillofacial Prosthetics Dentist* Maxillofacial Prosthodontist* Prosthodontist* Reconstructive Dentist,,"176,540",Doctoral or professional degree,1,None,Internship/residency
"Protective service workers, all other    * Bus Monitor* Playground Monitor* Warrant Server",,"30,720",High school diploma or equivalent,7,None,Short-term on-the-job training
Psychiatric aides    * Mental Health Orderly* Psychiatric Aide* Psychiatric Nursing Aide* Psychiatric Orderly* Psychiatric Technician Assistant,,"29,180",High school diploma or equivalent,7,None,Short-term on-the-job training
Psychiatric technicians    * Behavioral Health Technician* Mental Health Technician* Psychiatric Technician,,"32,870",Postsecondary nondegree award,5,Less than 5 years,Short-term on-the-job training
Psychiatrists    * Addiction Psychiatrist* Child Psychiatrist* Clinical Psychiatrist* Forensic Psychiatrist* Geriatric Psychiatrist* Neuropsychiatrist* Pediatric Psychiatrist* Psychiatrist* Staff Psychiatrist,,">=208,000",Doctoral or professional degree,1,None,Internship/residency
"Psychologists, all other    * Developmental Psychologist* Experimental Psychologist* Forensic Psychologist* Neuropsychologist* Psychometrist* Psychotherapist* Rehabilitation Psychologist* Social Psychologist* Sports Psychologist",,"100,770",Master's degree,2,None,Internship/residency
"Psychology teachers, postsecondary    * Applied Psychology Professor* Child Development Professor* Clinical Psychology Professor* Educational Psychology Professor* Human Relations Professor* Industrial Psychology Professor* Industrial/Organizational Psychology Professor* Psychology Professor",,"76,710",Doctoral or professional degree,1,None,None
Public address system and other announcers    * Emcee* Master of Ceremonies* Public Address Announcer* Ringmaster* Train Announcer* Train Caller,,"27,720",High school diploma or equivalent,7,None,Short-term on-the-job training
Public relations and fundraising managers    * Communication Manager* Fundraising Director* Public Affairs Director* Public Information Director* Public Information Relations Manager* Public Relations Director* Public Relations Manager* Publicity Director,,"114,800",Bachelor's degree,3,5 years or more,None
Public relations specialists    * Environmental Communications Specialist* Lobbyist* Media Relations Specialist* Press Agent* Press Secretary* Public Affairs Officer* Public Relations Counselor* Public Relations Officer* Public Relations Representative* Publicist* Publicity Agent* Publicity Writer,,"60,000",Bachelor's degree,3,None,None
"Pump operators, except wellhead pumpers    * Acid Pump Operator* Brewery Pumper* Concrete Pump Operator* Fluid Pump Operator",,"44,380",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Purchasing managers    * Contract Administrator* Contracting Manager* Director of Strategic Sourcing* Procurement Manager* Purchasing Director* Purchasing Manager* Sourcing Manager,,"118,940",Bachelor's degree,3,5 years or more,None
Radiation therapists    * Dosimetrist* Radiation Therapist* Radiation Therapy Technologist* Registered Radiation Therapist,,"82,330",Associate's degree,4,None,None
Radio and television announcers    * Commercial Announcer* Game Show Host* Radio Artist* Radio Disk Jockey* Radio Host* Talk Show Host* Television Host,,"33,220",Bachelor's degree,3,None,None
Radio operators    * Airline Radio Operator* Continuous Wave Operator* Radio Officer* Radio Operator* Radiophone Operator* Radiotelephone Operator,,"42,220",High school diploma or equivalent,7,None,Short-term on-the-job training
"Radio, cellular, and tower equipment installers and repairers    * Radio Frequency Technician* Radio Mechanic* Radio Repairer* Two-Way Radio Technician",,"54,890",Associate's degree,4,None,Moderate-term on-the-job training
Radiologic technologists    * Computed Axial Tomography Technologist* Computed Tomography (CT) Scanner Operator* Radiologic Technician* Registered Radiologic Technologist* Skiagrapher* X-Ray Technician,,"59,520",Associate's degree,4,None,None
Rail car repairers    * Freight Car Repairer* Mine Car Mechanic* Rail Car Maintenance Mechanic* Rail Car Mechanic* Streetcar Repairer* Subway Car Repairer* Tank Car Reconditioner* Trolley Car Mechanic* Trolley Car Overhauler,,"56,220",High school diploma or equivalent,7,None,Long-term on-the-job training
"Rail transportation workers, all other    * Railway Equipment Operator* Retarder Operator* Transfer Table Operator",,"55,410",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Rail yard engineers, dinkey operators, and hostlers    * Coal Tram Driver* Dinkey Driver* Dinkey Operator* Engine Hostler* Haulage Engine Operator* Railcar Switcher* Yard Hostler",,"52,630",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Rail-track laying and maintenance equipment operators    * Ballast Cleaning Machine Operator* Rail Maintenance Worker* Railroad Track Mechanic* Track Layer* Track Machine Operator* Track Maintainer* Track Moving Machine Operator* Track Repair Worker* Track Repairer* Track Service Worker* Track Surfacing Machine Operator* Trackwalker,,"56,930",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Railroad brake, signal, and switch operators    * Freight Brake Operator* Locomotive Switch Operator* Railroad Brake Operator* Railway Switch Operator* Switch Coupler* Train Brake Operator",,"57,260",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Railroad conductors and yardmasters    * Freight Conductor* Passenger Car Conductor* Train Conductor* Yard Conductor,,"62,930",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Real estate brokers    * Licensed Real Estate Broker* Real Estate Broker,,"58,210",High school diploma or equivalent,7,Less than 5 years,None
Real estate sales agents    * Agricultural Real Estate Agent* Apartment Rental Agent* Industrial Real Estate Agent* Land Sales Agent* Right of Way Agent,,"48,690",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Receptionists and information clerks    * Appointment Clerk* Dental Receptionist* Front Desk Receptionist* Land Leasing Information Clerk,,"29,140",High school diploma or equivalent,7,None,Short-term on-the-job training
"Recreation and fitness studies teachers, postsecondary    * Health and Physical Education Professor* Human Performance Professor* Kinesiology Professor* Leisure Studies Professor* Physical Education (PE) Professor* Physical Education Professor* Swimming Professor",,"62,620",Doctoral or professional degree,1,None,None
Recreation workers    * Activities Aide* Activities Assistant* Activities Coordinator* Activities Leader* Camp Counselor* Playground Worker* Recreation Activities Coordinator* Recreation Assistant* Recreational Aide,,"25,060",High school diploma or equivalent,7,None,Short-term on-the-job training
Recreational therapists    * CTRS* Certified Recreational Therapist* Certified Therapeutic Recreation Specialist* Drama Therapist* Recreational Therapist* Therapeutic Recreation Specialist,,"47,860",Bachelor's degree,3,None,None
Recreational vehicle service technicians    * Master Certified RV Technician* Mobile Service Recreational Vehicle Technician* RV Mechanic* RV Servicer* RVDA Master Certified RV Technician* Recreational Vehicle (RV) Repairer* Recreational Vehicle Mechanic,,"38,160",High school diploma or equivalent,7,None,Long-term on-the-job training
"Refractory materials repairers, except brickmasons    * Bondactor Machine Operator* Cupola Repairer* Kiln Door Builder* Ladle Repairer* Refractory Repairer",,"52,190",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Refuse and recyclable material collectors    * Garbage Collector* Recyclable Materials Collector* Refuse Collector* Scrap Metal Collector* Solid Waste Collector* Trash Collector,,"37,260",No formal educational credential,8,None,Short-term on-the-job training
Registered nurses    * CCU Nurse* CNS* Clinical Nurse Specialist* Community Health Nurse* Coronary Care Unit Nurse* Emergency Room RN* Endoscopy Registered Nurse* Hospice Registered Nurse* Obstetrical Nurse* Oncology Registered Nurse* PACU Nurse* Pediatric Registered Nurse* Post-Anesthesia Care Unit Nurse* Psychiatric Nurse* RN* Registered Nurse* Triage Registered Nurse,,"71,730",Bachelor's degree,3,None,None
Rehabilitation counselors    * Certified Rehabilitation Counselor* Coordinator of Rehabilitation Services* Psychosocial Rehabilitation Counselor* Rehabilitation Counselor* Veterans Rehabilitation Counselor* Vocational Rehabilitation Counselor,,"35,630",Master's degree,2,None,None
Reinforcing iron and rebar workers    * Post Tensioning Ironworker* Rebar Worker* Reinforcing Steel  Worker* Rod Buster* Steel Rod Buster* Steel Tier,,"48,320",High school diploma or equivalent,7,None,Apprenticeship
"Religious workers, all other    * Buddhist Monk* Christian Science Nurse* Missionary* Mohel* Nun* Pastoral Worker* Prior* Sacristan* Sunday School Missionary* Traveling Missionary* Verger",,"29,820",Bachelor's degree,3,None,None
Reporters and correspondents    * Book Critic* Book Reviewer* Columnist* Desk Reporter* Editorial Writer* Feature Writer* Film Critic* Foreign Correspondent* Investigative Reporter* Market News Reporter* Movie Critic* News Reporter* Newspaper Columnist* Newspaper Correspondent* Political Reporter* Press Writer* Society Reporter,,"41,260",Bachelor's degree,3,None,None
Reservation and transportation ticket agents and travel clerks    * Airline Reservation Agent* Airline Reservationist* Airline Ticket Agent* Gate Agent* Hotel Reservationist* Passenger Agent* Passenger Booking Clerk* Reservation Agent* Reservation Sales Agent* Train Clerk* Train Reservation Clerk* Transportation Clerk* Travel Clerk,,"37,220",High school diploma or equivalent,7,None,Short-term on-the-job training
Residential advisors    * Dormitory Counselor* House Parent* Residence Director* Residence Life Coordinator* Residential Advisor* Residential Director* Residential Life Director* Sorority Mother,,"27,860",High school diploma or equivalent,7,None,Short-term on-the-job training
Respiratory therapists    * CRT* Certified Respiratory Therapist* Inhalation Therapist* Oxygen Therapist* RRT* Registered Respiratory Therapist* Respiratory Therapist,,"60,280",Associate's degree,4,None,None
Respiratory therapy technicians    * CRTT* Certified Respiratory Therapy Technician* Oxygen Therapy Technician* Respiratory Therapy Technician,,"51,210",Associate's degree,4,None,None
Retail salespersons    * Automotive Salesperson* Department Store Salesperson* Menswear Salesperson* New Car Salesperson* Pet Supplies Salesperson* Pets Salesperson* Shoe Salesperson* Used Car Salesperson* Women's Apparel Salesperson,,"24,200",No formal educational credential,8,None,Short-term on-the-job training
Riggers    * Acrobatic Rigger* Boat Rigger* Crane Rigger* Fly Rail Operator* Gantry Rigger* High Rigger* Marine Rigger* Parachute Rigger* Ship Rigger* Theatrical Rigger* Wire Rigger* Yacht Rigger* Yard Rigger,,"50,370",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Rock splitters, quarry    * Quarry Plug and Feather Driller* Sandstone Splitter",,"34,750",No formal educational credential,8,None,Short-term on-the-job training
"Rolling machine setters, operators, and tenders, metal and plastic    * Brass Roller* Forming Roll Operator* Metal Sheet Roller Operator* Pipe Straightener* Plastic Straightening Roll Operator* Steel Roller",,"38,650",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Roof bolters, mining    * Roof Bolter Operator* Roof Bolting Coal Miner* Underground Bolting Machine Operator* Underground Roof Bolter",,"58,650",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Roofers    * Composition Roofer* Hot Tar Roofer* Industrial Roofer* Metal Roofing Mechanic* Residential Roofer* Roofer* Sheet Metal Roofer* Shingles Roofer* Slate Roofer* Terra Cotta Roofer,,"39,970",No formal educational credential,8,None,Moderate-term on-the-job training
"Rotary drill operators, oil and gas    * Drilling Rig Operator* Natural Gas Shothole Driller* Oil Driller* Oil Rig Driller* Oil Well Cable Tool Driller* Oil Well Cable Tool Operator* Oil Well Driller* Prospecting Driller",,"53,800",No formal educational credential,8,None,Moderate-term on-the-job training
"Roustabouts, oil and gas    * Oil Field Roustabout* Oil Rig Roughneck* Roustabout* Roustabout Pusher",,"37,580",No formal educational credential,8,None,Moderate-term on-the-job training
Sailors and marine oilers    * Able Seaman* Deck Cadet* Deck Hand* Deckhand* Merchant Mariner* Merchant Seaman* Ordinary Seaman* Sailor* Vessel Ordinary Seaman,,"40,900",No formal educational credential,8,None,Moderate-term on-the-job training
"Sales and related workers, all other    * Auctioneer* Blood Donor Recruiter* Leaflet Distributor* Livestock Auctioneer* Personal Shopper* Store Gift Wrap Associate",,"33,220",High school diploma or equivalent,7,None,None
Sales engineers    * Aerospace Products Sales Engineer* Missile Navigation Systems Sales Engineer* Nuclear Equipment Sales Engineer,,"101,420",Bachelor's degree,3,None,Moderate-term on-the-job training
Sales managers    * District Sales Manager* E-Commerce Director* Export Manager* Regional Sales Manager* Sales Account Manager* Sales Director* Territory Sales Manager,,"124,220",Bachelor's degree,3,Less than 5 years,None
"Sales representatives, services, all other    * Automobile Club Membership Sales Agent* Bookkeeping Service Sales Agent* Business Services Sales Representative* Membership Solicitor* Pest Control Service Sales Agent",,"54,550",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing, except technical and scientific products    * Bottling Equipment Sales Representative* Freight Broker* Hotel Supplies Salesperson* Mortician Supplies Sales Representative* Pulpwood Dealer* Wholesale Diamond Broker",,"58,510",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing, technical and scientific products    * Chemical Sales Representative* Electroplating Sales Representative* Engineering Supplies Sales* Pharmaceutical Detailer* Pharmaceutical Sales Representative* Pharmaceutical Salesperson* Surgical Instruments Sales Representative* Wholesale Ultrasonic Equipment Salesperson",,"79,680",Bachelor's degree,3,None,Moderate-term on-the-job training
"Sawing machine setters, operators, and tenders, wood    * Backup Sawyer* Band Scroll Saw Operator* Bandmill Operator* Buzzsaw Operator* Chop Saw Operator* Circle Saw Operator* Curve Saw Operator* Cut Off Saw Operator* Hardwood Sawyer* Headrig Sawyer* Panel Saw Operator* Rip Saw Operator* Stave Saw Operator* Trim Saw Operator",,"29,500",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Secondary school teachers, except special and career/technical education    * High School Biology Teacher* High School English Teacher* High School French Teacher* High School History Teacher* High School Math Teacher* High School Music Director* High School Teacher",,"60,320",Bachelor's degree,3,None,None
"Secretaries and administrative assistants, except legal, medical, and executive    * Alumni Secretary* Department Secretary* Office Secretary* Personal Secretary* Real Estate Administrative Assistant* School Attendance Secretary* School Secretary",,"36,630",High school diploma or equivalent,7,None,Short-term on-the-job training
"Securities, commodities, and financial services sales agents    * Commodities Broker* Commodity Trader* Equity Trader* Investment Banker* Municipal Bond Trader* Mutual Fund Sales Agent* Securities Trader* Stock Broker* Stock Trader",,"64,120",Bachelor's degree,3,None,Moderate-term on-the-job training
Security and fire alarm systems installers    * Alarm Adjuster* Alarm Technician* Burglar Alarm Installer* Fire Alarm Installer* Fire Alarm Technician* Home Security Alarm Installer,,"47,190",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Security guards    * Armed Guard* Bank Guard* Bodyguard* Bouncer* Private Watchman* Security Officer,,"28,490",High school diploma or equivalent,7,None,Short-term on-the-job training
Self-enrichment education teachers    * Ballet Teacher* CPR Instructor* Ceramics Instructor* Citizenship Teacher* Dance Teacher* Defensive Driving Instructor* Driver Education Instructor* Driving Instructor* First Aid Instructor* Horseback Riding Instructor* Judo Instructor* Karate Instructor* Knitting Teacher* Martial Arts Instructor* Sailing Instructor* Skiing Instructor* Snowboard Instructor* Theater Education Teacher,,"38,720",High school diploma or equivalent,7,Less than 5 years,None
Semiconductor processors    * Electronic Semiconductor Processor* Semiconductor Assembler* Wafer Fabricator,,"37,270",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders    * Brewmaster* Fermentation Operator* Fermenter* Linseed Oil Temperer* Milk Pasteurizer* Milk Processor* Molasses Preparer* Pasteurizer* Winemaker",,"40,810",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Septic tank servicers and sewer pipe cleaners    * Electric Sewer Cleaning Machine Operator* Septic Pump Truck Driver* Septic Tank Cleaner* Sewage Screen Operator* Sewer Cleaner* Sewer Pipe Cleaner* Sewer and Drain Technician,,"38,970",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Service unit operators, oil, gas, and mining    * Oil Well Fishing-Tool Technician* Well Service Pump Equipment Operator* Well Service Rig Operator* Well Services Operator* Well Servicing Rig Operator",,"47,860",No formal educational credential,8,None,Moderate-term on-the-job training
Set and exhibit designers    * Scenic Designer* Set Decorator* Set Designer* Stage Scenery Designer* Theater Set Production Designer,,"54,270",Bachelor's degree,3,None,None
"Sewers, hand    * Hand Quilter* Hand Sewer* Hand Stitcher* Hand Weaver",,"28,650",No formal educational credential,8,None,Moderate-term on-the-job training
Sewing machine operators    * Blind Stitch Machine Operator* Button Sewing Machine Operator* Carpet Sewing Machine Operator* Custom T-Shirt Embroidery Machine Operator* Embroidery Machine Operator* Hemming and Tacking Machine Operator* Ultrasonic Seaming Machine Operator,,"25,030",No formal educational credential,8,None,Short-term on-the-job training
Shampooers    * Scalp Treatment Specialist* Shampoo Assistant* Shampoo Technician* Shampooer,,"21,640",No formal educational credential,8,None,Short-term on-the-job training
"Sheet metal workers    * Air Conditioning Sheet Metal Installer* Heating, Ventilation, and Air Conditioning  (HVAC) Sheet Metal Installer* Sheet Metal Duct Installer* Sheet Metal Fabricator* Sheet Metal Former* Sheet Metal Installer* Sheet Metal Layout Mechanic* Sheet Metal Layout Worker* Sheet Metal Worker* Tinsmith",,"48,460",High school diploma or equivalent,7,None,Apprenticeship
Ship engineers    * Barge Engineer* Ferry Engineer* Towboat Engineer* Tug Boat Engineer* Tugboat Engineer,,"71,130",Postsecondary nondegree award,5,Less than 5 years,None
"Shipping, receiving, and traffic clerks    * Freight Clerk* Incoming Freight Clerk* Receiving Clerk* Reconsignment Clerk* Route Delivery Clerk* Shipping Order Clerk* Shipping and Receiving Clerk* Store Receiving Clerk",,"33,030",High school diploma or equivalent,7,None,Short-term on-the-job training
Shoe and leather workers and repairers    * Cobbler* Leather Lacer* Leather Worker* Luggage Repairer* Saddle Maker* Saddle and Harness Maker* Shoe Maker* Shoemaker,,"28,840",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Shoe machine operators and tenders    * Arch Cushion Press Operator* Insole Beveler* Lacing Operator* Lasting Machine Operator* Pump Stitcher* Rasper Machine Operator* Shoe Cementer* Shoe Sewing Machine Operator and Tender* Sole Trimmer,,"30,430",High school diploma or equivalent,7,None,Short-term on-the-job training
Signal and track switch repairers    * Electric Track Switch Maintainer* Light Rail Signal Technician* Rail Signal Mechanic* Railway Signal Technician* Third Rail Installer* Train Control Electronic Technician* Train Control Technician,,"70,490",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Skincare specialists    * Electrolysis Needle Operator* Electrolysis Operator* Electrolysist* Esthetician* Facialist* Licensed Esthetician* Medical Esthetician* Skin Care Technician,,"31,290",Postsecondary nondegree award,5,None,None
Slaughterers and meat packers    * Beef Splitter* Cattle Killer* Halal Meat Packer* Hog Slaughterer* Meat Packer* Meat Processor* Poultry Slaughterer* Shochet* Slaughterer,,"28,260",No formal educational credential,8,None,Short-term on-the-job training
Social and community service managers    * Child Welfare Director* Community Service Director* Community Service Organization Director* Family Service Center Director* Neighborhood Service Center Director* Social Service Director* Social Services Director* Youth Program Director,,"65,320",Bachelor's degree,3,Less than 5 years,None
Social and human service assistants    * Addictions Counselor Assistant* Case Work Aide* Clinical Social Work Aide* Family Service Assistant* Human Services Worker* Social Work Assistant,,"33,750",High school diploma or equivalent,7,None,Short-term on-the-job training
Social science research assistants    * City Planning Aide* Economic Research Assistant* Economist Research Assistant* Historian Research Assistant* Political Science Research Assistant* Psychologist Research Assistant* Sociology Research Assistant,,"46,640",Bachelor's degree,3,None,None
"Social sciences teachers, postsecondary, all other    * Social Science Professor* Survey Research Professor* Urban Planning Professor",,"71,600",Doctoral or professional degree,1,None,None
"Social scientists and related workers, all other    * Behavioral Scientist* Demographer* Ethnologist* Etymologist* Linguist* Philologist* Social Scientist",,"81,340",Bachelor's degree,3,None,None
"Social work teachers, postsecondary    * Family Welfare Social Work Professor* Geriatric Social Work Professor* Health Social Work Professor* Social Work Professor",,"68,300",Doctoral or professional degree,1,None,None
"Social workers, all other    * Criminal Justice Social Worker* Forensic Social Worker* Sexual Assault Social Worker",,"63,140",Bachelor's degree,3,None,None
Sociologists    * Criminologist* Family Sociologist* Penologist* Rural Sociologist* Sociologist* Urban Sociologist,,"82,050",Master's degree,2,None,None
"Sociology teachers, postsecondary    * Comparative Sociology Professor* Race Relations Professor* Social Organization Professor",,"74,140",Doctoral or professional degree,1,None,None
"Software developers, applications    * Application Integration Engineer* Applications Developer* Computer Applications Developer* Computer Applications Engineer* Database Developer* Software Applications Architect* Software Applications Designer* Software Applications Engineer",,"103,620",Bachelor's degree,3,None,None
"Software developers, systems software    * Computer Systems Software Architect* Computer Systems Software Engineer* Embedded Systems Software Developer* Enterprise Systems Engineer* Software Systems Engineer* Systems Software Designer* Systems Software Specialist",,"110,000",Bachelor's degree,3,None,None
Soil and plant scientists    * Agriculturist* Agronomist* Arboreal Scientist* Crop Nutrition Scientist* Floriculturist* Horticulturist* Plant Physiologist* Plant Scientist* Pomologist* Soil Fertility Extension Specialist* Soil Scientist* Viticulturist,,"63,950",Bachelor's degree,3,None,None
Solar photovoltaic installers    * PV Installer* PV Panel Installer* Photovoltaic (PV) Installation Technician* Solar PV Installer,,"42,680",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Sound engineering technicians    * Audio Recording Engineer* Disc Recordist* Dub Room Engineer* Film Sound Engineer* Play Back Operator* Public Address Technician* Recording Engineer* Sound Assistant* Sound Cutter* Sound Designer* Sound Editor* Sound Effects Technician* Sound Engineering Technician,,"52,390",Postsecondary nondegree award,5,None,Short-term on-the-job training
"Special education teachers, all other    * Autism Tutor* Special Education Teacher for Adults with Disabilities",,"56,680",Bachelor's degree,3,None,None
"Special education teachers, kindergarten and elementary school    * SED Elementary School Teacher* Severe Emotional Disorders Elementary School Teacher* Special Education Kindergarten Teacher",,"59,390",Bachelor's degree,3,None,None
"Special education teachers, middle school    * Middle School Special Education Teacher* Middle School Teacher for Students with Moderate Intellectual Disabilities* SED Middle School Teacher* Severe Emotional Disorders Middle School Teacher",,"60,250",Bachelor's degree,3,None,None
"Special education teachers, preschool    * Early Childhood Special Education Teacher* Early Childhood Special Educator* Pre-K Special Education Teacher* Pre-Kindergarten Special Education Teacher* Special Education Preschool Teacher",,"55,840",Bachelor's degree,3,None,None
"Special education teachers, secondary school    * High School Learning Support Teacher* High School Special Education Teacher* SED High School Teacher* Secondary School Special Ed Teacher* Severe Emotional Disorders High School Teacher",,"60,600",Bachelor's degree,3,None,None
Speech-language pathologists    * Language Pathologist* Public School Speech Clinician* Public School Speech Therapist* Speech Clinician* Speech Pathologist* Speech Therapist* Speech and Language Specialist,,"77,510",Master's degree,2,None,Internship/residency
"Stationary engineers and boiler operators    * Boiler Engineer* Boiler Operator¿¿¿* Boiler Plant Operator* Boiler Room Operator* Heating, Ventilation, and Air Conditioning (HVAC) Mechanic Boiler Operator* High Pressure Boiler Operator",,"60,440",High school diploma or equivalent,7,None,Long-term on-the-job training
